City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-kurilsk,50.6789,156.125,-3.22,78,98,3.33,RU,1675639538
1,cidreira,-30.1811,-50.2056,23.78,76,64,4.39,BR,1675639538
2,bongandanga,1.5,21.05,24.12,33,52,0.76,CD,1675639539
3,ushuaia,-54.8,-68.3,7.79,71,56,3.67,AR,1675638729
4,dikson,73.5069,80.5464,-19.1,97,100,0.74,RU,1675639539
5,chuy,-33.6971,-53.4616,19.88,77,0,3.48,UY,1675639540
6,rantauprapat,2.1,99.8333,22.32,98,100,0.33,ID,1675639540
7,uyovu,-3.2833,31.5258,16.42,95,88,1.74,TZ,1675639541
8,bluff,-46.6,168.3333,14.73,85,55,11.08,NZ,1675639541
9,bredasdorp,-34.5322,20.0403,20.9,85,100,4.07,ZA,1675639542
10,cherskiy,68.75,161.3,-41.29,100,100,2.06,RU,1675639542
11,guerrero negro,27.9769,-114.0611,17.47,67,9,8.37,MX,1675638996
12,hermanus,-34.4187,19.2345,21.0,87,89,5.01,ZA,1675639543
13,butaritari,3.0707,172.7902,26.7,84,100,8.03,KI,1675639543
14,busselton,-33.65,115.3333,20.07,75,26,4.64,AU,1675639183
15,hobart,-42.8794,147.3294,19.92,52,40,7.72,AU,1675639427
16,atuona,-9.8,-139.0333,25.86,78,44,8.52,PF,1675639544
17,disraeli,45.9001,-71.3491,-2.2,95,100,2.99,CA,1675639544
18,port alfred,-33.5906,26.891,22.32,95,51,4.52,ZA,1675639545
19,yellowknife,62.456,-114.3525,-20.25,77,100,6.17,CA,1675639301
20,pavelets,53.7883,39.246,-5.77,97,99,3.08,RU,1675639545
21,sterling,39.0062,-77.4286,12.55,43,100,4.12,US,1675639546
22,hasaki,35.7333,140.8333,7.34,77,1,3.64,JP,1675639546
23,karlshamn,56.1706,14.8619,-1.73,96,94,1.38,SE,1675639547
24,flin flon,54.7682,-101.865,-6.09,86,100,4.63,CA,1675639547
25,qaanaaq,77.484,-69.3632,-18.35,55,5,2.97,GL,1675639547
26,cape town,-33.9258,18.4232,22.99,75,0,7.15,ZA,1675639548
27,barrow,71.2906,-156.7887,-27.99,83,100,0.0,US,1675639548
28,namtsy,62.7161,129.6658,-34.03,98,100,1.51,RU,1675639549
29,nikolskoye,59.7035,30.7861,-4.0,93,100,3.56,RU,1675639549
30,garowe,8.4054,48.4845,19.18,74,71,3.52,SO,1675639550
31,torbay,47.6666,-52.7314,-3.57,75,75,9.26,CA,1675639550
32,yeniseysk,58.4497,92.1703,-22.92,100,100,1.02,RU,1675639550
33,kavieng,-2.5744,150.7967,28.07,74,94,2.51,PG,1675639551
34,albany,42.6001,-73.9662,5.03,55,95,2.22,US,1675639303
35,burlington,39.8835,-74.6413,8.04,38,0,3.09,US,1675639325
36,punta arenas,-53.15,-70.9167,11.06,62,0,7.2,CL,1675639552
37,lima,-12.0432,-77.0282,27.17,69,0,6.17,PE,1675639452
38,upernavik,72.7868,-56.1549,-25.05,95,100,2.75,GL,1675639553
39,vaitape,-16.5167,-151.75,27.51,74,16,6.82,PF,1675639553
40,powell river,49.8496,-124.5361,12.0,87,40,4.63,CA,1675639553
41,jamestown,42.097,-79.2353,5.8,60,100,6.17,US,1675639463
42,boueni,-12.9025,45.0761,26.99,73,100,2.64,YT,1675639554
43,ambanja,-13.6833,48.45,23.83,92,95,0.84,MG,1675639554
44,rapar,23.5667,70.6333,19.12,75,1,3.95,IN,1675639555
45,avarua,-21.2078,-159.775,28.03,83,75,5.66,CK,1675639555
46,erdenet,49.0333,104.0833,-21.24,100,70,1.35,MN,1675639556
47,xining,36.6167,101.7667,-5.35,61,1,0.83,CN,1675639556
48,edson,53.5835,-116.4356,8.08,36,0,3.6,CA,1675639556
49,rikitea,-23.1203,-134.9692,26.17,74,3,6.78,PF,1675639557
50,khilok,51.3674,110.4676,-23.33,98,55,1.52,RU,1675639557
51,puerto ayora,-0.7393,-90.3518,26.97,91,35,3.58,EC,1675639558
52,mataura,-46.1927,168.8643,16.01,75,90,5.66,NZ,1675639558
53,richards bay,-28.783,32.0377,23.51,85,53,1.59,ZA,1675639558
54,bambous virieux,-20.3428,57.7575,26.14,89,75,2.57,MU,1675639559
55,ketchikan,55.3422,-131.6461,2.99,93,100,3.6,US,1675639559
56,lasa,46.6166,10.7002,1.49,92,56,2.65,IT,1675639560
57,yumen,40.2833,97.2,-3.03,38,73,3.02,CN,1675639560
58,vaini,-21.2,-175.2,28.09,74,75,1.03,TO,1675639561
59,alice springs,-23.7,133.8833,21.75,37,0,0.0,AU,1675639561
60,shu,43.5983,73.7614,-1.41,97,99,1.43,KZ,1675639561
61,novyy svit,47.8059,38.0211,-2.04,84,100,4.96,UA,1675639563
62,hamilton,39.1834,-84.5333,10.41,62,0,5.66,US,1675639496
63,ribeira grande,38.5167,-28.7,16.54,90,100,4.47,PT,1675639564
64,mahebourg,-20.4081,57.7,26.16,89,75,2.57,MU,1675639565
65,narsaq,60.9167,-46.05,-7.88,73,100,7.55,GL,1675639566
66,talnakh,69.4865,88.3972,-16.23,97,98,1.34,RU,1675639567
67,cabo san lucas,22.8909,-109.9124,27.56,31,0,4.63,MX,1675639567
68,souillac,-20.5167,57.5167,26.21,89,75,2.57,MU,1675639569
69,araouane,18.9048,-3.5265,18.33,18,36,4.05,ML,1675639570
70,hilo,19.7297,-155.09,27.93,78,100,3.6,US,1675639570
71,ravar,31.2656,56.8055,8.18,34,7,0.25,IR,1675639571
